EVALUATION VALUES
Run: 20260903_090235
Models: bm25, gemma, sbert, siglip
Queries: 52

1 AVERAGE VALUES BY MODEL

metric                          bm25         gemma         sbert        siglip
------------------------------------------------------------------------------
precision                     0.3239        0.3212        0.3288        0.1788
recall                        0.2507        0.3272        0.3039        0.2041
f1                            0.2208        0.2538        0.2490        0.1420
r_precision                   0.2082        0.2637        0.2455        0.1466
ap                            0.1737        0.2218        0.2155        0.1301
wu_palmer_mean                0.5955        0.6721        0.6707        0.5248
wu_palmer_gt_to_pred          0.5771        0.6228        0.6123        0.5753
wu_palmer_pred_to_gt          0.6140        0.7215        0.7290        0.4744

2 VALUES PER QUERY

2.1 precision

query                                                bm25         gemma         sbert        siglip
---------------------------------------------------------------------------------------------------
reading a book                                     0.4000        0.6000        0.3500        0.3000
bald man                                           0.1000        0.2000        0.2000        0.2000
saint holding a monstrance                         0.1000        0.1000        0.0000        0.1500
fireman                                            0.0000        0.4000        0.3000        0.1500
portrait                                           0.5000        0.7000        0.8500        0.1500
portrait of a toddler                              0.1500        0.2000        0.1000        0.0500
portrait of a girl                                 0.1500        0.0500        0.0000        0.0500
bridge                                             0.8000        0.7000        0.7500        0.2500
street                                             0.6000        0.5000        0.7500        0.2000
soldier on a horse                                 0.0500        0.1500        0.1500        0.3000
officer riding a horse                             0.0000        0.0500        0.0500        0.1000
making lace                                        0.0500        0.1500        0.2000        0.2000
Virgin Mary holding the Christ Child               0.0500        0.1000        0.1500        0.0000
acanthus ornament                                  0.3000        0.4500        0.4500        0.2000
god the father holding the body of christ          0.2000        0.2000        0.1500        0.0000
father and daughter                                0.1000        0.2000        0.2000        0.1500
touching something                                 0.2000        0.2000        0.4500        0.0500
hands folded                                       0.2500        0.2000        0.2500        0.2500
elderly woman                                      0.0500        0.0500        0.0500        0.1500
instructing the gardener                           0.0500        0.1000        0.0500        0.0500
commanding gesture                                 0.0000        0.5500        0.1000        0.0000
chandelier                                         0.0000        0.2000        0.1500        0.0500
castle                                             0.7857        0.2500        0.3000        0.1000
girl                                               0.2500        0.2000        0.1000        0.1000
running horse                                      0.1500        0.3000        0.4500        0.2000
young girl                                         0.3000        0.1000        0.1500        0.1500
annunciation                                       0.7000        0.4500        0.5000        0.5500
Mary annunciation                                  0.4000        0.4000        0.4500        0.3500
dragon                                             0.4000        0.2000        0.1500        0.0500
lion                                               0.6000        0.2000        0.3000        0.1500
sleeping lion                                      0.0500        0.2000        0.2500        0.1000
dog                                                0.7500        0.5000        0.6000        0.1500
aggressive                                         0.3000        0.1500        0.1000        0.1000
annunciation to the virgin                         0.2000        0.4000        0.4500        0.1000
horse                                              0.4500        0.2500        0.4000        0.2500
landscape                                          1.0000        0.8500        0.9000        0.7500
kind of dog                                        0.5000        0.3500        0.4000        0.2500
dog leash                                          0.2500        0.3000        0.4000        0.1500
walking the dog                                    0.2000        0.1500        0.2500        0.1500
hill                                               0.8571        0.4500        0.3500        0.0500
high hill                                          0.1500        0.2000        0.1500        0.0500
saint                                              0.0000        0.3000        0.2500        0.0500
Jesus with beard                                   0.0000        0.0000        0.0000        0.0000
Jesus without beard                                0.0000        0.4000        0.9000        0.9000
Christ beardless                                   1.0000        0.9500        0.9500        1.0000
Saint John                                         0.0000        0.0000        0.0000        0.0000
Saint Agnes                                        1.0000        0.9000        0.7500        0.0000
Jupiter                                            0.9000        0.8000        0.8000        0.0000
Jupyter                                            0.0000        0.4500        0.0000        0.0000
running and jumping                                0.4000        0.6500        0.7500        0.5000
hatred                                             1.0000        0.1500        0.2000        0.0500
jilted lover                                       0.1500        0.1500        0.1500        0.0500

2.2 recall

query                                                bm25         gemma         sbert        siglip
---------------------------------------------------------------------------------------------------
reading a book                                     0.3333        0.5000        0.2917        0.2500
bald man                                           0.2500        0.5000        0.5000        0.5000
saint holding a monstrance                         0.6667        0.6667        0.0000        1.0000
fireman                                            0.0000        1.0000        0.7500        0.3750
portrait                                           0.1429        0.2000        0.2429        0.0429
portrait of a toddler                              0.3750        0.5000        0.2500        0.1250
portrait of a girl                                 0.4286        0.1429        0.0000        0.1429
bridge                                             0.5333        0.4667        0.5000        0.1667
street                                             0.3077        0.2564        0.3846        0.1026
soldier on a horse                                 0.0625        0.1875        0.1875        0.3750
officer riding a horse                             0.0000        0.0625        0.0625        0.1250
making lace                                        0.2500        0.7500        1.0000        1.0000
Virgin Mary holding the Christ Child               0.0263        0.0526        0.0789        0.0000
acanthus ornament                                  0.6000        0.9000        0.9000        0.4000
god the father holding the body of christ          0.5000        0.5000        0.3750        0.0000
father and daughter                                0.0769        0.1538        0.1538        0.1154
touching something                                 0.0727        0.0727        0.1636        0.0182
hands folded                                       0.8333        0.6667        0.8333        0.8333
elderly woman                                      0.3333        0.3333        0.3333        1.0000
instructing the gardener                           0.1429        0.2857        0.1429        0.1429
commanding gesture                                 0.0000        0.8462        0.1538        0.0000
chandelier                                         0.0000        0.8000        0.6000        0.2000
castle                                             0.9167        0.4167        0.5000        0.1667
girl                                               0.1163        0.0930        0.0465        0.0465
running horse                                      0.2143        0.4286        0.6429        0.2857
young girl                                         0.3750        0.1250        0.1875        0.1875
annunciation                                       0.4118        0.2647        0.2941        0.3235
Mary annunciation                                  0.2963        0.2963        0.3333        0.2593
dragon                                             0.1333        0.0667        0.0500        0.0167
lion                                               0.1600        0.0533        0.0800        0.0400
sleeping lion                                      0.2000        0.8000        1.0000        0.4000
dog                                                0.1923        0.1282        0.1538        0.0385
aggressive                                         0.0600        0.0300        0.0200        0.0200
annunciation to the virgin                         0.1818        0.3636        0.4091        0.0909
horse                                              0.0643        0.0357        0.0571        0.0357
landscape                                          0.0743        0.0632        0.0669        0.0558
kind of dog                                        0.3448        0.2414        0.2759        0.1724
dog leash                                          0.3846        0.4615        0.6154        0.2308
walking the dog                                    0.2105        0.1579        0.2632        0.1579
hill                                               0.5000        0.3750        0.2917        0.0417
high hill                                          0.6000        0.8000        0.6000        0.2000
saint                                              0.0000        0.0833        0.0694        0.0139
Jesus with beard                                   0.0000        0.0000        0.0000        0.0000
Jesus without beard                                0.0000        0.1176        0.2647        0.2647
Christ beardless                                   0.2941        0.2794        0.2794        0.2941
Saint John                                         0.0000        0.0000        0.0000        0.0000
Saint Agnes                                        0.5263        0.4737        0.3947        0.0000
Jupiter                                            0.1525        0.1356        0.1356        0.0000
Jupyter                                            0.0000        0.0763        0.0000        0.0000
running and jumping                                0.1231        0.2000        0.2308        0.1538
hatred                                             0.0690        0.1034        0.1379        0.0345
jilted lover                                       0.5000        0.5000        0.5000        0.1667

2.3 f1

query                                                bm25         gemma         sbert        siglip
---------------------------------------------------------------------------------------------------
reading a book                                     0.3636        0.5455        0.3182        0.2727
bald man                                           0.1429        0.2857        0.2857        0.2857
saint holding a monstrance                         0.1739        0.1739        0.0000        0.2609
fireman                                            0.0000        0.5714        0.4286        0.2143
portrait                                           0.2222        0.3111        0.3778        0.0667
portrait of a toddler                              0.2143        0.2857        0.1429        0.0714
portrait of a girl                                 0.2222        0.0741        0.0000        0.0741
bridge                                             0.6400        0.5600        0.6000        0.2000
street                                             0.4068        0.3390        0.5085        0.1356
soldier on a horse                                 0.0556        0.1667        0.1667        0.3333
officer riding a horse                             0.0000        0.0556        0.0556        0.1111
making lace                                        0.0833        0.2500        0.3333        0.3333
Virgin Mary holding the Christ Child               0.0345        0.0690        0.1034        0.0000
acanthus ornament                                  0.4000        0.6000        0.6000        0.2667
god the father holding the body of christ          0.2857        0.2857        0.2143        0.0000
father and daughter                                0.0870        0.1739        0.1739        0.1304
touching something                                 0.1067        0.1067        0.2400        0.0267
hands folded                                       0.3846        0.3077        0.3846        0.3846
elderly woman                                      0.0870        0.0870        0.0870        0.2609
instructing the gardener                           0.0741        0.1481        0.0741        0.0741
commanding gesture                                 0.0000        0.6667        0.1212        0.0000
chandelier                                         0.0000        0.3200        0.2400        0.0800
castle                                             0.8462        0.3125        0.3750        0.1250
girl                                               0.1587        0.1270        0.0635        0.0635
running horse                                      0.1765        0.3529        0.5294        0.2353
young girl                                         0.3333        0.1111        0.1667        0.1667
annunciation                                       0.5185        0.3333        0.3704        0.4074
Mary annunciation                                  0.3404        0.3404        0.3830        0.2979
dragon                                             0.2000        0.1000        0.0750        0.0250
lion                                               0.2526        0.0842        0.1263        0.0632
